,Questions
0,"
I'm high risk for severe covid and I just tested positive. I've gone this entire time without catching it and now I got it. I contacted it from someone at work. I'm on day 3 and I seem to be feeling worse everyday. I'm just curious what helped you through the symptoms and beating it? I'm completely stressed about what's going to happen.
"
1,"
Hi Survey Girl,
Thank you for your post. We are sorry to hear that you caught Covid, please know that feeling stressed about your health during this time is completely normal. 
We encourage you to reach out to a healthcare provider for more information on how to support you with your symptoms. For specific physical health related questions, you can also reach out to the Centre for Disease Control and Prevention. We hope you have a quick recovery. 
"
2,"
Any advice on a primary school teacher testing positive? The school seems to be telling teachers that they must attend work if tested positive.
"
3,"
I am a respiratory therapist who worked the front line the past 2 years. It's been incredibly challenging for me to go back to normal life. I've watched 100+ people die and suffer throughout the pandemic, feeling helpless. It felt like nothing we did saved them. Watching people come into the hospital and knowing they're going to be dead within the day or the week and having to pretend like everything is fine. Or watching someone die suffering in their last moments. With my job I am at by their heads, watching their faces, watching them struggle to breathe and suffer, before dying completely alone with usually just myself and maybe a nurse in the room. It's hard to make the mental switch to now ""okay covid is over let's get back to normal"" after all I've witnessed.It makes me feel like all of the lives lost are invalidated. How am I supposed to move on from this? How do I go back to normal life without forgetting all the people who've lost their lives?Does anyone else struggle with this issue? I feel like I'm the only one who can't let go.
"
4,"
I was positive for Covid over a year ago and suffer from a long list of I guess they are called ailments? Sometimes I feel like I am the only one out there. Am I crazy? Am I really this weak? I feel depressed, useless. Anyone else feel like me? Countless dr bills dr visits only to hear oh we’re sorry we just don’t know enough about post Covid to treat you. 
"
5,"
Hello and thank you for sharing your experience with us today. It takes courage to share when one is not feeling well.
We recognize that, although it is normal, it can be frustrating not being able to find any clear answers to your health issues due to lack of information. You are definitely not weak, this is a normal response to a challenging situation.
During such a stressful time, you might find it helpful to try to calm some of your thoughts by using cognitive techniques such as mindfulness (e.g., Petit Babou or Headspace app). Doing physical activity, practicing breathing techniques, or doing some anxiety interventions.
Alternatively, shifting focus can also be helpful. An example of how to do this is through journaling daily gratitudes. This can be by looking at parts of your life that have not been negatively affectedor reflecting on:
- Relationships: An old relationship that really helped you
- An opportunity that you have today
- Something great that happened or you saw yesterday
- Something simple near you that brings you joy
with that being said, speaking to a therapist or mental health professional may also be helpful, if you find that your challenging thoughts are hard to control and work with.
If you fell that you can use some emotional support, please feel free to call the Distress Centre at 1-833-456-4566 or text 45645
We would love to hear about how others have been feeling in these situations, and if there are any other suggestions?
"
6,"
I’m a 38 year old man; and throughout my life have been in contact with chicken pox on a yearly basis, I’ve never contracted it or had it. Now it seems I’m having the same reaction to covid, I’ve been exposed to so much of it, through work and home, my  family go down with highly contagious omicron and I don’t get it. My 9 year old son is exactly the same with chicken pox and covid the same as me. Does anyone else relate to this as I would love to know?
"
7,"
Hi,I was fully vaccinated about 3 months ago (pfizer) and have now caught covid.  The tracing of this has led to a friend of a friend of friend who went to a gathering in Toronto and brought it home with him.  So, I think it is the B117 strand since I did get symptoms and tested positive.My initial symptoms were low grade fever, never higher than 37.6C/99.8F.  I had a runny nose for about 1 day and a bit tired the next day with sinus pressure.  On the third day I lost my smell and especially taste.Any information on when I will regain smell/taste?  Anyone else gone through this AFTER already being vaccinated?
"
8,"
Hi Tony, thank you for bringing your question to us here today. We are sorry to hear that you caught COVID, even post-vaccination. For specific physical health related questions, it is best to contact the Centre for Disease Control and Prevention. If you would like to get any support for your mental health during this time, feel free to post here and we would be more than happy to support you. Wishing you all the best and we hope you have a quick recovery!
"
9,"
Drinking my troubles away. Especially when alone.
"
