,Titles,Links
0,High risk and just tested positive,https://covid19.camhx.ca/mod/forum/discuss.php?d=123
1,School teacher with covid,https://covid19.camhx.ca/mod/forum/discuss.php?d=122
2,How do we move on?,https://covid19.camhx.ca/mod/forum/discuss.php?d=121
3,Lost and depressed ,https://covid19.camhx.ca/mod/forum/discuss.php?d=119
4,Immunity to Covid and Chicken Pox ,https://covid19.camhx.ca/mod/forum/discuss.php?d=118
5,Got COVID positive after fully vaccinated - loss of taste/smell,https://covid19.camhx.ca/mod/forum/discuss.php?d=113
6,Excessive drinking to cope,https://covid19.camhx.ca/mod/forum/discuss.php?d=112
7,anxious during covid,https://covid19.camhx.ca/mod/forum/discuss.php?d=111
8,Loneliness during COVID,https://covid19.camhx.ca/mod/forum/discuss.php?d=110
9,Feeling Abused by Expectations on LTC Managers &amp; Staff,https://covid19.camhx.ca/mod/forum/discuss.php?d=109
10,"Is this ""Breathe Easy"" Mask Enhancer safe?",https://covid19.camhx.ca/mod/forum/discuss.php?d=108
11,Sleeping,https://covid19.camhx.ca/mod/forum/discuss.php?d=107
12,anxiety/saddness,https://covid19.camhx.ca/mod/forum/discuss.php?d=104
13,Just Reaching Out,https://covid19.camhx.ca/mod/forum/discuss.php?d=106
14,Any good safe economical facemark referral please?,https://covid19.camhx.ca/mod/forum/discuss.php?d=105
15,Friend problem,https://covid19.camhx.ca/mod/forum/discuss.php?d=93
16,Making an effort to reach out,https://covid19.camhx.ca/mod/forum/discuss.php?d=103
17,"I have mixed feelings about things opening up , i like to go back to normal but worried that  I will get the virus and that the employer will provide the safety for employees ",https://covid19.camhx.ca/mod/forum/discuss.php?d=91
18,Is anyone perfect when it comes to physical distancing?,https://covid19.camhx.ca/mod/forum/discuss.php?d=100
19,Harm Reduction Kits? Addiction Support?,https://covid19.camhx.ca/mod/forum/discuss.php?d=99
20,Not comforable with my family doctor,https://covid19.camhx.ca/mod/forum/discuss.php?d=98
21,"Meditation, Mindfulness and Stress Relieving Techniques",https://covid19.camhx.ca/mod/forum/discuss.php?d=63
22,Addiction and mental health during this pandemic,https://covid19.camhx.ca/mod/forum/discuss.php?d=97
23,pandemic help,https://covid19.camhx.ca/mod/forum/discuss.php?d=96
24,HELP! Can't get my Antidepressant anymore!!! NARDIL,https://covid19.camhx.ca/mod/forum/discuss.php?d=94
25,Feeling down ,https://covid19.camhx.ca/mod/forum/discuss.php?d=90
26,Higher Risk = Higher Panic,https://covid19.camhx.ca/mod/forum/discuss.php?d=92
27,"I need help, I have no supports",https://covid19.camhx.ca/mod/forum/discuss.php?d=85
28,Great time for deep reflections!~,https://covid19.camhx.ca/mod/forum/discuss.php?d=70
29,How long will this go on for?,https://covid19.camhx.ca/mod/forum/discuss.php?d=54
30,Having to stay home ,https://covid19.camhx.ca/mod/forum/discuss.php?d=89
31,Neighbours not isolating,https://covid19.camhx.ca/mod/forum/discuss.php?d=86
32,Can time fly by? ,https://covid19.camhx.ca/mod/forum/discuss.php?d=58
33,Staying Positive,https://covid19.camhx.ca/mod/forum/discuss.php?d=83
34,What do I do?,https://covid19.camhx.ca/mod/forum/discuss.php?d=79
35,Feeling down ,https://covid19.camhx.ca/mod/forum/discuss.php?d=78
36,Being pressured to work at the office,https://covid19.camhx.ca/mod/forum/discuss.php?d=77
37,Payroll,https://covid19.camhx.ca/mod/forum/discuss.php?d=76
38,Work,https://covid19.camhx.ca/mod/forum/discuss.php?d=53
39,Anxiety,https://covid19.camhx.ca/mod/forum/discuss.php?d=75
40,Positive side of things?,https://covid19.camhx.ca/mod/forum/discuss.php?d=74
41, Contact My Doctor,https://covid19.camhx.ca/mod/forum/discuss.php?d=73
42,How much screen time?,https://covid19.camhx.ca/mod/forum/discuss.php?d=64
43,Seeing or talking to Doctors regularly?,https://covid19.camhx.ca/mod/forum/discuss.php?d=72
44,Maintaining Progress while feeling Overwhelmed,https://covid19.camhx.ca/mod/forum/discuss.php?d=61
45,Creative Quaratining,https://covid19.camhx.ca/mod/forum/discuss.php?d=57
46,Staying Connected,https://covid19.camhx.ca/mod/forum/discuss.php?d=52
47,Nutrition and exercise,https://covid19.camhx.ca/mod/forum/discuss.php?d=44
48,Keeping the Custodial staff safe,https://covid19.camhx.ca/mod/forum/discuss.php?d=65
49,Working and home schooling,https://covid19.camhx.ca/mod/forum/discuss.php?d=62
50,Stressed about parent in nursing home,https://covid19.camhx.ca/mod/forum/discuss.php?d=59
51,Effects of Social/Physical-Distancing on Mood,https://covid19.camhx.ca/mod/forum/discuss.php?d=45
52,Getting Through,https://covid19.camhx.ca/mod/forum/discuss.php?d=48
53,Family Workspace Stress,https://covid19.camhx.ca/mod/forum/discuss.php?d=41
54,Paradise Cinema Hosting Virtual Movies,https://covid19.camhx.ca/mod/forum/discuss.php?d=50
55,Stressed about going to work,https://covid19.camhx.ca/mod/forum/discuss.php?d=46
56,Talking to family/friends about social distancing,https://covid19.camhx.ca/mod/forum/discuss.php?d=49
57,Worried about going outside when I need to run errands,https://covid19.camhx.ca/mod/forum/discuss.php?d=43
58,Supports for Parents/Caregivers,https://covid19.camhx.ca/mod/forum/discuss.php?d=47
59,Pregnant and worried,https://covid19.camhx.ca/mod/forum/discuss.php?d=42
