,Titles,Links
0,,#maincontent
1,,#searchform-navbar
2,,#searchform-navbar
3,Home,https://covid19.camhx.ca
4,,#searchform-navbar
5,,#searchform-navbar
6,,https://covid19.camhx.ca/course/index.php
7,,https://covid19.camhx.ca/mod/forum/view.php?id=1
8,Sort by discussion name in descending order,https://covid19.camhx.ca/mod/forum/view.php?id=1&o=7
9,Sort by discussion starter name in descending order,https://covid19.camhx.ca/mod/forum/view.php?id=1&o=9
10,Sort by last post creation date in ascending order,https://covid19.camhx.ca/mod/forum/view.php?id=1&o=2
11,Sort by number of replies in descending order,https://covid19.camhx.ca/mod/forum/view.php?id=1&o=5
12,High risk and just tested positive,https://covid19.camhx.ca/mod/forum/discuss.php?d=123
13,,https://covid19.camhx.ca/mod/forum/discuss.php?d=123&parent=328
14,School teacher with covid,https://covid19.camhx.ca/mod/forum/discuss.php?d=122
15,,https://covid19.camhx.ca/mod/forum/discuss.php?d=122&parent=326
16,How do we move on?,https://covid19.camhx.ca/mod/forum/discuss.php?d=121
17,,https://covid19.camhx.ca/mod/forum/discuss.php?d=121&parent=325
18,Lost and depressed ,https://covid19.camhx.ca/mod/forum/discuss.php?d=119
19,,https://covid19.camhx.ca/mod/forum/discuss.php?d=119&parent=323
20,Immunity to Covid and Chicken Pox ,https://covid19.camhx.ca/mod/forum/discuss.php?d=118
21,,https://covid19.camhx.ca/mod/forum/discuss.php?d=118&parent=321
22,Got COVID positive after fully vaccinated - loss of taste/smell,https://covid19.camhx.ca/mod/forum/discuss.php?d=113
23,,https://covid19.camhx.ca/mod/forum/discuss.php?d=113&parent=316
24,Excessive drinking to cope,https://covid19.camhx.ca/mod/forum/discuss.php?d=112
25,,https://covid19.camhx.ca/mod/forum/discuss.php?d=112&parent=314
26,anxious during covid,https://covid19.camhx.ca/mod/forum/discuss.php?d=111
27,,https://covid19.camhx.ca/mod/forum/discuss.php?d=111&parent=312
28,Loneliness during COVID,https://covid19.camhx.ca/mod/forum/discuss.php?d=110
29,,https://covid19.camhx.ca/mod/forum/discuss.php?d=110&parent=311
30,Feeling Abused by Expectations on LTC Managers &amp; Staff,https://covid19.camhx.ca/mod/forum/discuss.php?d=109
31,,https://covid19.camhx.ca/mod/forum/discuss.php?d=109&parent=306
32,"Is this ""Breathe Easy"" Mask Enhancer safe?",https://covid19.camhx.ca/mod/forum/discuss.php?d=108
33,,https://covid19.camhx.ca/mod/forum/discuss.php?d=108&parent=304
34,Sleeping,https://covid19.camhx.ca/mod/forum/discuss.php?d=107
35,,https://covid19.camhx.ca/mod/forum/discuss.php?d=107&parent=292
36,anxiety/saddness,https://covid19.camhx.ca/mod/forum/discuss.php?d=104
37,,https://covid19.camhx.ca/mod/forum/discuss.php?d=104&parent=290
38,Just Reaching Out,https://covid19.camhx.ca/mod/forum/discuss.php?d=106
39,,https://covid19.camhx.ca/mod/forum/discuss.php?d=106&parent=289
40,Any good safe economical facemark referral please?,https://covid19.camhx.ca/mod/forum/discuss.php?d=105
41,,https://covid19.camhx.ca/mod/forum/discuss.php?d=105&parent=287
42,Friend problem,https://covid19.camhx.ca/mod/forum/discuss.php?d=93
43,,https://covid19.camhx.ca/mod/forum/discuss.php?d=93&parent=285
44,Making an effort to reach out,https://covid19.camhx.ca/mod/forum/discuss.php?d=103
45,,https://covid19.camhx.ca/mod/forum/discuss.php?d=103&parent=282
46,"I have mixed feelings about things opening up , i like to go back to normal but worried that  I will get the virus and that the employer will provide the safety for employees ",https://covid19.camhx.ca/mod/forum/discuss.php?d=91
47,,https://covid19.camhx.ca/mod/forum/discuss.php?d=91&parent=279
48,Is anyone perfect when it comes to physical distancing?,https://covid19.camhx.ca/mod/forum/discuss.php?d=100
49,,https://covid19.camhx.ca/mod/forum/discuss.php?d=100&parent=275
50,Harm Reduction Kits? Addiction Support?,https://covid19.camhx.ca/mod/forum/discuss.php?d=99
51,,https://covid19.camhx.ca/mod/forum/discuss.php?d=99&parent=274
52,Not comforable with my family doctor,https://covid19.camhx.ca/mod/forum/discuss.php?d=98
