,Titles,Links,Author,Content
0,Phlegm in my throat and post nasal drip after Covid,https://connect.mayoclinic.org/discussion/phlegm-in-my-throat-and-post-nasal-drip-after-covid/,danny2022 @danny2022,"Ever since I had covid in January of 2022 I recovered from the virus but I was left with a constant phlegm in the back of my throat and post nasal drip that will not go away.  The feeling of having mucus in the back of my throat actually gets worse when I try to get rid of it by coughing.  I have been given steroid inhalers, albuterol, allergy medication, but none of these work.  The mucus gets worse especially after I eat.  I've never felt like this before and it all started after covid. Can anybody relate to what I am going through?"
1,Anyone experienced post covid tingling near mouth area,https://connect.mayoclinic.org/discussion/anyone-experienced-post-covid-tingling-near-mouth-area/,ihndz @ihndz,"I had covid in 2020 and again January 2023,  suddenly I started feeling weird, first it was a light numbness by my left lip like when you have dental work and the lip is waking up then it changed into a mild tingling sensation whenever I pass my hand gently
by my left jawline area, it's near my lower lip area on the left side only. I went to a neurologist yesterday, he prescribed a muscle relaxant to see if that will help and an MRI of my brain for next Tuesday to make sure everything is ok.  Im just curious if anyone experienced something similar after covid19. Thanks in advance "
2,Continued Post-Nasal Drip and Constant Mucus in Throat,https://connect.mayoclinic.org/discussion/continued-post-nasal-drip-and-constant-mucus-in-throat/,adominic @adominic,"I was sick the last week or January/first week of February. Home Test-negative, rapid PCR-negative. All COVID symptoms and known prolonged exposure to infected individuals make me believe it was COVID. Since then, I have had a tremendously hard time dealing with post-nasal drip and mucus collecting in my throat. It is clear, sticky and almost impossible to remove from throat by coughing or clearing my throat. Flonase does nothing, allergy pills do nothing. Had anyone else had an issue like this post COVID? How long did it last? What did you do to cope?  Small problem in comparison to others that post here, I realize. "
3,Why did the blog stop? ,https://connect.mayoclinic.org/discussion/why-did-the-blog-stop/,car0 @car0,The last blog was in 8/22. I’m just curious— has nothing more been discovered? Is Long Haul no longer of interest? 
4,Epstein-Barr Treatment for Long Covid?,https://connect.mayoclinic.org/discussion/epstein-barr-treatment-for-long-covid/,snakexeyes @snakexeyes,"First, a little background: I'm 9 months in to Long Covid and just ended a treatment regimen designed by the InCellDx / Innovative Bioanalysis research group (Dr. Patterson et al).  After 4 months of many medications that produced no results and only decreased my quality of life with side effects, I'm calling it.  The only medication that improved my functioning was Ivermectin (which did so dramatically), but even that has plateaued for several months now. I'm now waiting until the end of October to be seen at Stanford's Post-Acute Covid Syndrome clinic and have little to no hope for that either.  "
5,Long Covid + getting more boosters- any reputable info out there?,https://connect.mayoclinic.org/discussion/long-covid-getting-more-boosters-any-reputable-info-out-there/,ericy210 @ericy210,"I had the two Moderna shots and one booster.  Got Covid in May and have been suffering with neurological long Covid issues.  Lots of neurological studies and appointments for me.
Now I wonder if I should get a new booster.  Would it help?  Is it safe?  Will it help or worsen my condition?
Anybody seen any reputable studies or articles addressing this?  I’ll be asking my own doctor too.  Just don’t know what to do!"
6,"Post-Covid dizziness/off-balance, as most troubling symptom",https://connect.mayoclinic.org/discussion/post-covid-dizzinessoff-balance-as-most-troubling-symptom/,kirstenk2003 @kirstenk2003,"I contracted Covid in December 2021 and am currently dealing with persistent dizziness (off balance, sometimes feels like swaying, rocking, spinning, or a pull to one side). My other most bothersome symptoms are ear ringing, headaches (pressure in the head), feelings of pressure change in my ears, trouble multitasking or thinking, along with developing anxiety/ depression and some elevated heart rate and blood pressure. "
7,Anyone develop worsened acid reflux ( GERD ) or a hernia post-covid?,https://connect.mayoclinic.org/discussion/anyone-develop-worsened-acid-reflux-gerd-or-a-hernia-post-covid/,ninja64 @ninja64,"My husband always had bad acid reflux issues and I had mild acid reflux.  After covid, his acid reflux became so bad that he had to get surgery for that and for a new hernia.  I also found out that I had developed a hernia post-covid and my acid reflux is now worse as a result.  Doctor said that the excessive coughing and vomiting can cause a hernia."
8,How many Covid vaccinations are appropriate..,https://connect.mayoclinic.org/discussion/how-many-covid-vaccinations-are-appropriate/,ncgal @ncgal,"My husband and I just got over Covid.  We both have had 5 vaccines.
 I was wondering if more vaccines were necessary or are boosters given every so many months.  We are both 80 and wouldn't want to go through that again!!"
9,Does COVID brain fog go away on its own?,https://connect.mayoclinic.org/discussion/brain-fog-go-away-on-its-own/,auntb65 @auntb65,"Just curious if anyone has had their brain fog/dizziness go away on its own. I was hospitalized in November 2021 for a week. Thankfully all my other symptoms have gone away except the brain fog/dizziness. I really hate to think I’m stuck with this. I’ve tried everything I can think of-PT, visits to ENT/neurologist. I read this blog daily and have tried many of the suggestions you all give. (Thank you by the way). Im so tired of hearing “Your test results are normal”.
At the same time, I’m so thankful my other symptoms have cleared up. Hoping you all get relief soon!!"
