,Titles,Links,Post_Time,Author,Content
0,"Coronavirus/COVID-19 Information, Advice and Surveillance",https://patient.info/forums/discuss/coronavirus-covid-19-information-advice-and-surveillance-733106,2022-11-18T04:57+00:00,"
                                Emis_Moderator
                            ","**Clinically approved COVID-19 content**
For any users concerned about the coronavirus (COVID-19) situation please see our advice hub on [this page](https://patient.info/coronavirus-covid-19). This hub contains regularly updated information on a variety of subjects and is updated as the situation or advice changes.
.
**Patient Access COVID-19 symptom checker**
For anyone experiencing symptoms of COVID-19 or concerned for any reason that they may have contracted it, we have built a bespoke [COVID-19 symptom checker tool](https://www.patientaccess.com/coronavirus) in which we can advise you on the appropriate course of action for your situation. Remember, if you are concerned that you may have symptoms of COVID-19 please complete our symptom checker before contacting your GP.
.
**COVID-19 Symptom Surveillance**

EMIS Health and Patient are committed to supporting the NHS to understand and tackle the epidemic facing our country and have worked in collaboration with the Royal College of General Practitioner’s Research & Surveillance Centre and the University of Oxford on this COVID-19 Symptom Surveillance tool.

It has been created to understand more about the distribution and characteristics of patients with symptoms of possible COVID-19 and the impact the virus is having upon them.  If you are 16 years of age or older, please complete and share it if you have, or have had, symptoms possibly related to COVID-19. The tool is available [here](https://www.patientaccess.com/coronavirus/triage).
.
**COVID-19 Q&A sessions**
Our Clinical Director Dr Sarah Jarvis MBE has already hosted Q&A sessions with patients' questions. These may have answers to some of your questions and the videos are available [here](https://www.facebook.com/patient/videos/224726255508220/?hc_ref=ARQ-xmeUQ2ccz3y__I3TOwGWlEU1twlezLE_r9ec1wy1KUbLvKIT48Ah4nUodLj954A&__tn__=kC-R).
There will be future Q&A sessions taking place, details of which will be available  [here](https://www.facebook.com/patient).
 .
**Patient Access** 
We have accelerated the rollout of video appointments to Patient Access GP and Community Pharmacy partners so they can conduct remote appointments with their patients. 
If you are not currently a Patient Access user and would like to register for the service, you can do so [here](https://app.patientaccess.com/registration/create). ***This service is for UK residents only.***

Regards,
Patient team"
1,Muscle twitching and vibrations,https://patient.info/forums/discuss/muscle-twitching-and-vibrations-760923,2023-03-12T08:46+00:00,"
                                greg99
                            ","Hello all,

I got COVID in January and a few weeks after i got rid of the virus I started getting muscle twitches all over my body (fasciculations). I've also noticed a rippling effect in my muscle fibres during contraction.

I was wondering if anyone has also experienced similar symptoms after beating the virus?"
2,COVID Rebound after paxlovid,https://patient.info/forums/discuss/covid-rebound-after-paxlovid-797261,2023-02-27T01:33+00:00,"
                                bill89198
                            ",I just want to share my experience with COVID rebound (and just for reference I'm a 64 yr old male in otherwise good health) .  After my initial positive covid home test I contacted my dr and was prescribed paxlovid all was well at first and I started getting better within a couple of days and tested negative about the third day of taking it. I continued to feel better until a few days after finishing the 5th day of paxlovid. Then I started feeling ill again with even worse symptoms including a mild fever  for several days and sinus infection symptoms. I am right now at almost 3 weeks from my first onset of COVID and close to one week into the rebound and still COVID positive.  So if I were to do it over I would probably NOT take paxlovid and maybe my immune system would have killed it the first time and I may not have had to go through it again. So just wondering if anyone else has gone through this and how long did it take to fully recover ?
3,ANYONE GET TERRIBLE ACID REFLUX AFTER HAVING COVID?,https://patient.info/forums/discuss/anyone-get-terrible-acid-reflux-after-having-covid--750660,2023-02-19T22:45+00:00,"
                                allison91964
                            ",i never had an issue with acid reflux. now my throat is so sore everyday! i went to ENT and he said its GERD and can be a side affect from having covid as this started directly after. anyone else experience this? 
4,Weakness after Vaccine ,https://patient.info/forums/discuss/weakness-after-vaccine-760213,2023-01-23T05:59+00:00,"
                                Jo123456789
                            ","anyone else experience significant weakness  and fatigue for weeks after your vaccine?

i am on first shot of moderna and started losing strength 2 days post shot and it has never improved. I'm due for 2nd  dose next well and concerned.  

i  have not found any information that side effects last more thana few  days  and I’m at weeks now.   normal activities are difficult and  so far never  the vaccine clinic or primary care has offered any suggestions.

"
5,Help Lost My Taste And Smell?,https://patient.info/forums/discuss/help-lost-my-taste-and-smell--795315,2023-01-21T20:57+00:00,"
                                robert78044
                            ",You know how to get them back because do not feel like eating because everything taste the time been trying lemon drinks and sweets. Anyone know how to get the taste back?
6,"Swollen arm, red, itching",https://patient.info/forums/discuss/swollen-arm-red-itching-794722,2022-12-31T19:51+00:00,"
                                sher85689
                            ","A few days ago I got the latest covid booster. I expected to have a sore arm. I did not expect for it to be swollen, red, and hot to the touch. The redness is slowly creeping down my arm. It almost looks like a major spider bite, but it isn't. The swelling goes from the needle site almost to my elbow. It feels like I have been punched there. I don't remember reading anything like this maybe happening. My husband also has a swollen arm. There is about a two inch area of redness that is hot to the touch. Neither of us has ever had this kind of thing happen from a shot and have no allergies. Has anyone else experienced this? Any advice?

"
7,Side effect concerning paxlovid,https://patient.info/forums/discuss/side-effect-concerning-paxlovid-794501,2022-12-25T13:36+00:00,"
                                brittany63742
                            ","just tested positive for covid this past thursday symptoms started late tuesday into wednesday. i felt like dayquil and tylenol was doing alright for me but my dr prescribed Paxlovid.  I've read all the side effects and I think there is one that I'm experiencing that's not listed. I keep getting chest pain off and on that feels like a panic or anxiety attack. when I called a registered rn, they stated that I should go to the er instead of really listening to me. I feel perfectly fine other than some sinus congestion and sinus drainage. I'm scared to go to the er cause my father passed away in February from it. I think it could be triggering me. I'm also depressed cause I can't be near my 3 year old or my husband. I guess my question is, has anyone else had a similar situation to paxlovid. I'm afraid to continue taking it. "
8,looking for primary care providers in kansas area/region (kc to topeka),https://patient.info/forums/discuss/looking-for-primary-care-providers-in-kansas-area-region-kc-to-topeka--794363,2022-12-20T19:33+00:00,"
                                roger61016
                            ","that have some understanding and empathy for a non vaxxed non covid (yet) senior male ..

in seemingly good health to partner with me in my efforts to maintain my own healthcare - 

teleheath certainly appreciated for initial consolation and with medicare and a supplemental insurance.

Main issue, find a doctor with a mutual good fit,-and avoiding covid and accompanying hysteria.

Seems to be no need for an in person consult other than death defying traffic crash practice and listen to my chest -

	I have bp cuff oximeter blook wkup a month old and  ct heart scan two months old....all doable by webcam....Thank you all ....
	
	Have you any idea how difficult this is to find PCP ..that is aware of current situation and open to working with non vaxxed?  stay safe and again thank you"
9,Post COVID tongue ,https://patient.info/forums/discuss/post-covid-tongue-794161,2022-12-15T17:32+00:00,"
                                Gills43
                            ",anybody had Covid tongue after they had covid ?? its like a burnt tongue 
10,Post Covid -- Anybody else experiencing weird symptoms?,https://patient.info/forums/discuss/post-covid-anybody-else-experiencing-weird-symptoms--776299,2022-12-15T15:25+00:00,"
                                lance22479
                            ","**  I have been recovering from Covid but am still having challenges.  The most significant regards feeling somewhat light headed as I drive or walk around.  In turn, my stomach starts to feel nauseated  because of feeling kind of a motion sickness.  I find myself just staring at a wall or something on occasion as I feel totally in a fog.  I am tired a lot and find laying down for a few minutes does help.  Does any of this relate to anybody else?  Am I going crazy?







**"
11,recent covid,https://patient.info/forums/discuss/recent-covid-794086,2022-12-14T21:20+00:00,"
                                caroline3321
                            ","Hello, received a positive Covid result on 12/09/22.   I am home for 10 days until 12/19/22.   Nice to see this discussion forum because all this time never got the virus until now.  My symptoms are so mild I informed my doctor office but my best treatment is staying at home at this time unless I get worst.  I'm lucky, very mild symptoms, no fever.  I did feel like a cold coming on and my throat ""thick"",  I did sinus rinse and took over the counter sinus medicine and I am feeling lots better, looking forward to re-testing and hopefully negative.   I am also on a strict vitamin schedule with zinc, c, and vit D to boost immunity.   My biggest issue is being very, very tired.   I hope on the 19th once I finally can return to work I can deal with a full schedule.   Any tips on improving energy?? "
12,Moderna vaccine was given for 4th (booster) 7weeks ago and I've had Poly Myalgia,https://patient.info/forums/discuss/moderna-vaccine-was-given-for-4th-booster-7weeks-ago-and-i-ve-had-poly-myalgia-792808,2022-12-08T21:31+00:00,"
                                michael36126
                            ","I have never had a physical reaction to anything in my 70 years, but aches in shoulder joints an hip joints were experienced within 2 days of being vaccinated.  also muscle strength has decreased by 50%.  I am kept awake some nights even after taking 15mg Codeine.  Reported to GP who referred my to the Practice Phsio.  I was given exercises with a review after 3 weeks.  This is exacerbating the poor sleep problem I've had for 5 months where I am surviving on 3 hours a night.
so I'm pretty fed up. Especially as I wasn't advised of these possible side effects. All I need now is to actually get Covid.  Anyone else having similar problems?"
13,Knee pain after 4th Covid jab,https://patient.info/forums/discuss/knee-pain-after-4th-covid-jab-793605,2022-11-29T16:31+00:00,"
                                earl82034
                            ","I play racquet sports and my knees were fine after my first 2 Covid vaccines + 1st Pfizer booster shot. Then in May 2022 I took my 2nd Pfizer booster shot and 3 days later both knees hurt and ached continuously making walking a challenge.  I had my right knee evaluated in January 2022 and no signs of arthritis or damage. Everything changed after the 2nd booster shot. I've had 2 cortisone injections which helped for 2 weeks then the pain returns. Daily Advil allows me to walk but not play sports like I had before.

It seems the Covid booster triggered an inflammatory reaction in my knees that remains now 6 months later. Has anyone experienced this? Has anyone found a solution?"
14,Post Covid odd smells and tastes,https://patient.info/forums/discuss/post-covid-odd-smells-and-tastes-753797,2022-11-26T02:42+00:00,"
                                stvns78
                            ","Hello, I had a very mild case of COVID back in early October. About a week or so AFTER I got better I lost about 95% of my sense of smell. My sense of taste was not affected. After a few weeks it started to come back and all seemed fine. Then a couple of weeks ago just after the new year when eating a mint I noticed a very odd chemical taste. Everything else tasted fine. Then a little over a week ago I opened up a peanut butter jar and it smelled horrible. Smelled just like that chemical taste of the mint but 100x worse. Now last week many things have a faint chemical smell. I thought it might be a new detergent or something but my wife swears nothing has changed. It is faint and if I did not suffer from GAD then I probably wouldn't notice it.

The best I have been able to figure out is in very late December I was using some paint stripper, which seems to be very close to the chemical smell, and that somehow my nose wires got crossed. I was in a pretty well ventilated area. When I am outside I do not smell this at all. When I come back in I swear I can smell chemicals but NO ONE else in the house can smell anything.

I do not believe this to be a neurological issue as in late October I had an MRI for other reasons and nothing was discovered. 

Have any other people post COVID had issues smelling and tasting chemicals or other odd tastes/smells? If so what did you do to help the issue?

Thanks!"
