content_index,score,preferred_name,cui
0,14.96,Iodides,C0021966
0,5.18,Complete,C0205197
0,5.18,Feelings,C1527305
0,5.18,To,C1883351
0,5.18,beatings nos,C0868443
0,3.98,Assisted (qualifier value),C1269765
0,3.98,Contact with,C0332158
0,3.75,Registered nurse,C0687673
0,3.61,High risk of,C0332167
0,3.59,Stress,C0038435
0,3.59,Curiosity,C0010472
0,3.57,Symptoms,C1457887
0,3.56,Time,C0040223
0,3.5,R prime,C2603358
0,3.48,Daily,C0332173
0,3.48,Deterioration of status,C1279889
0,3.48,Now (temporal qualifier),C1948052
0,3.48,Occur (action),C1709305
0,3.46,Positive Finding,C1514241
0,3.46,Tests (qualifier value),C0392366
0,3.45,At work,C3842633
0,3.45,Day 3,C3842675
0,3.43,Catch - Finding of sensory dimension of pain,C0231617
0,3.43,Entire,C0439751
0,3.43,Severe (severity modifier),C0205082
0,3.43,This (eukaryote),C1080058
1,7.21,School,C0036375
1,7.08,Teacher,C0221457
1,6.92,Positive Finding,C1514241
1,5.18,Attending (action),C1999232
1,5.18,Tryptophanase,C0041260
1,5.18,Work,C0043227
1,3.68,Registered nurse,C0687673
1,3.54,Advice,C0150600
1,3.47,Tests (qualifier value),C0392366
1,3.43,Primary Schools,C0033145
1,3.43,School Teachers,C0036374
1,3.43,Primary education teacher,C0335005
1,3.42,Primary operation,C0439631
1,3.42,Rabbi,C0684010
1,3.42,Testing,C0039593
2,33.49,Tryptophanase,C0041260
2,28.54,Iodides,C0021966
2,15.7,Watching,C2371283
2,15.03,Feelings,C1527305
2,11.36,Persons,C0027361
2,11.35,GORAB gene,C1822658
2,11.35,Cessation of life,C0011065
2,11.14,Mental Suffering,C0683278
2,11.09,Venezuela,C0042469
2,10.89,Back,C0004600
2,10.49,Normal,C0205307
2,10.42,Lost,C0745777
2,10.42,Make - Instruction Imperative,C1881534
2,7.46,Household composition,C0595998
2,7.31,Lupus erythematosus tumidus,C0406636
2,6.92,Life,C0376558
2,5.18,Dying Process,C0184532
2,5.18,Face,C0015450
2,5.18,Hardness,C0018599
2,5.18,Head,C0018670
2,5.18,Helpessness (feeling),C2987395
2,5.18,Legal fine,C0687757
2,5.18,Maybe,C3844350
2,5.18,RESF1 gene,C1824356
2,5.18,Respiratory therapist,C1709924
2,5.18,Retinol equivalents,C0556581
2,5.18,S prime,C2603362
2,5.18,T prime,C2603360
2,5.18,Weekly,C0332174
2,5.18,Witnesses,C0682356
2,5.18,Work,C0043227
2,5.18,forgetting,C0598853
2,3.98,Commit Operation,C2347840
2,3.75,Registered nurse,C0687673
2,3.68,Anterior,C0205094
2,3.68,Line Specimen,C1550648
2,3.68,NI+,C3869926
2,3.68,One,C0205447
2,3.64,ADM wt Allele,C3813124
2,3.64,Moved to,C1299988
2,3.59,"Examiner, Medical",C0025082
2,3.57,Hospital environment,C1510665
2,3.57,M NOS ANTIBODY,C0369637
2,3.57,Pandemics,C1615608
2,3.56,Living Alone,C0439044
2,3.56,Nurses,C0028661
2,3.55,Challenge,C0805586
2,3.5,Computer Job,C2826594
2,3.5,Right,C0205090
2,3.5,Singular,C0205171
2,3.48,Past Year,C4086728
2,3.48,Over (spatial),C0205136
2,3.46,100%,C3817553
2,3.46,Now (temporal qualifier),C1948052
2,3.46,Psyche structure,C0229992
2,3.46,Switch Device,C1707719
2,3.44,day,C0439228
2,3.43,Complete,C0205197
2,3.43,Room number:Location:Point in time:^Patient:Nominal,C1716535
2,3.43,Usual,C3538928
2,3.43,Else,C3842296
2,3.43,Issue (document),C1706387
3,23.65,Iodides,C0021966
3,11.17,Feelings,C1527305
3,7.47,Delayed Release Dosage Form,C1707664
3,7.3,Singular,C0205171
3,5.18,Beak,C0004895
3,5.18,Else,C3842296
3,5.18,GDC Treatment Outcome Terminology,C5202850
3,5.18,Hearing,C0018767
3,5.18,Patient Visit,C1512346
3,5.18,Treatment intent,C1292734
3,5.18,hydroxide ion,C0220853
3,3.98,Call (Instruction),C1947967
3,3.75,Registered nurse,C0687673
3,3.68,No Information Available,C1546437
3,3.68,per year,C0439508
3,3.61,One,C0205447
3,3.61,Removed,C0849355
3,3.59,Positive Finding,C1514241
3,3.56,"Examiner, Medical",C0025082
3,3.54,List,C0745732
3,3.54,Long,C0205166
3,3.54,Mental Suffering,C0683278
3,3.54,guessing,C0870628
3,3.5,Depressed mood,C0344315
3,3.5,Right,C0205090
3,3.5,Weak,C1762617
3,3.48,Illness (finding),C0221423
3,3.48,Nurse Administrator,C0028652
3,3.48,Sometimes,C1998882
3,3.47,Post,C0687676
4,18.56,Iodides,C0021966
4,10.92,Same,C0445247
4,7.47,Tryptophanase,C0041260
4,7.4,Venezuela,C0042469
4,6.96,Old,C0580836
4,6.96,per year,C0439508
4,5.18,Contraction (finding),C1140999
4,5.18,Else,C3842296
4,5.18,Exposure to,C0332157
4,5.18,Love,C0024028
4,5.18,Never (frequency),C2003901
4,5.18,Now (temporal qualifier),C1948052
4,5.18,RESF1 gene,C1824356
4,5.18,Work,C0043227
4,5.18,home health encounter,C1553498
4,3.75,Registered nurse,C0687673
4,3.68,Basis,C1874451
4,3.68,M NOS ANTIBODY,C0369637
4,3.64,Contact with chicken,C2905041
4,3.64,GORAB gene,C1822658
4,3.63,Omicron,C1720076
4,3.61,Son (person),C0037683
4,3.59,Male population group,C0025266
4,3.57,And,C1515981
4,3.57,Life,C0376558
4,3.57,Malaysia,C0024552
4,3.56,Reaction,C0443286
4,3.56,Relate - vinyl resin,C0163712
4,3.55,PRODH gene,C1418945
4,3.5,Annual,C0332181
4,3.48,High,C0205250
4,3.48,Nurse Administrator,C0028652
4,3.47,Measles-rubella vaccine (live),C0457610
4,3.46,Chickenpox,C0008049
4,3.45,No Information Available,C1546437
4,3.43,contagion,C0598197
5,24.25,Blood group antibody I,C0221138
5,7.7,Symptoms,C1457887
5,7.31,Smell Perception,C0037361
5,7.16,Taste Perception,C0039336
5,7.07,Vaccinated at,C1116171
5,7.06,day,C0439228
5,5.18,Brought on by,C0332302
5,5.18,Fatigue,C0015672
5,5.18,Lost,C0745777
5,5.18,Low grade fever,C0239574
5,5.18,Now (temporal qualifier),C1948052
5,5.18,REGAIN,C1875723
5,5.18,RESF1 gene,C1824356
5,5.18,"Thinking, function",C0039869
5,5.18,bit - unit of measure,C1553019
5,5.18,pfizer,C0331888
5,3.98,Catch - Finding of sensory dimension of pain,C0231617
5,3.75,Registered nurse,C0687673
5,3.68,Genomic Orientation,C1704972
5,3.68,National Health Insurance,C0027452
5,3.68,Positive Finding,C1514241
5,3.59,Information,C1533716
